cohort,id,question,event_title,created_at,end_date,volume,decision
test,552648,Israel x Iran ceasefire by Friday? ,Israel x Iran ceasefire by Friday? ,2025-06-15 17:26:45+00:00,2025-06-20 23:55:00+00:00,285858.298907,EXCLUDE (Israel x Iran family)
test,552649,Israel x Iran ceasefire before July? ,Israel x Iran ceasefire before July? ,2025-06-15 17:52:19+00:00,2025-06-30 23:55:00+00:00,51779894.19503,EXCLUDE (Israel x Iran family)
test,552845,Israel x Iran ceasefire before July 15?,Israel x Iran ceasefire before July 15?,2025-06-16 14:22:27+00:00,2025-07-15 00:00:00+00:00,649193.157285,EXCLUDE (Israel x Iran family)
test,555424,Israel x Iran ceasefire broken by June 27? ,Israel x Iran ceasefire broken by...? ,2025-06-24 18:37:45+00:00,2025-07-16 00:00:00+00:00,209118.952481,EXCLUDE (Israel x Iran family)
test,555425,Israel x Iran ceasefire broken by July 11? ,Israel x Iran ceasefire broken by...? ,2025-06-24 18:37:45+00:00,2025-07-16 00:00:00+00:00,410443.8096,EXCLUDE (Israel x Iran family)
test,555435,Will Israel or Iran break the ceasefire first?,Will Israel or Iran break the ceasefire first?,2025-06-24 20:14:53+00:00,2025-08-31 23:59:00+00:00,114479.367736,EXCLUDE (Israel x Iran family)
test,555833,Israel x Iran ceasefire broken by July 31?,Israel x Iran ceasefire broken by...? ,2025-06-25 22:22:33+00:00,2025-07-31 00:00:00+00:00,157519.702771,EXCLUDE (Israel x Iran family)
test,555834,Israel x Iran ceasefire broken by August 31?,Israel x Iran ceasefire broken by...? ,2025-06-25 22:24:09+00:00,2025-08-31 00:00:00+00:00,334324.403879,EXCLUDE (Israel x Iran family)
test,566908,Israel x Iran ceasefire broken by October 31?,Israel x Iran ceasefire broken by...? ,2025-07-23 14:15:57+00:00,2025-10-31 00:00:00+00:00,839694.595454,EXCLUDE (Israel x Iran family)
test,566910,Israel x Iran ceasefire broken by December 31?,Israel x Iran ceasefire broken by...? ,2025-07-23 14:17:19+00:00,2025-12-31 00:00:00+00:00,1078689.797501,EXCLUDE (Israel x Iran family)
test,580847,Israel x Iran ceasefire broken by September 30?,Israel x Iran ceasefire broken by...? ,2025-08-25 14:07:58+00:00,2025-09-01 00:00:00+00:00,431463.582017,EXCLUDE (Israel x Iran family)
test,666696,"Israel x Iran ceasefire broken by March 31, 2026?",Israel x Iran ceasefire broken by...? ,2025-11-05 17:52:02+00:00,2026-03-31 00:00:00+00:00,1378470.576415,EXCLUDE (Israel x Iran family)
test,958427,"Israel x Iran ceasefire broken by June 30, 2026?",Israel x Iran ceasefire broken by...? ,2025-12-17 22:34:05+00:00,2026-03-31 00:00:00+00:00,213941.914764,EXCLUDE (Israel x Iran family)
test,1494826,Will there be a US x Iran ceasefire before Kevin Warsh is confirmed as Fed Chair?,What will happen before Kevin Warsh is confirmed?,2026-03-03 21:39:55+00:00,2026-10-31 00:00:00+00:00,44467.97225900002,EXCLUDE (conditional / compound market)
test,1559953,US x Iran ceasefire before Trump visits China?,US x Iran ceasefire before Trump visits China?,2026-03-11 17:14:02+00:00,2026-06-30 00:00:00+00:00,68588.42812100008,EXCLUDE (conditional / compound market)
test,1560186,Russia x Ukraine ceasefire before US x Iran ceasefire?,Russia x Ukraine ceasefire before US x Iran ceasefire?,2026-03-11 17:33:44+00:00,2026-03-31 13:43:23+00:00,50558.006927000046,EXCLUDE (conditional / compound market)
test,1577370,Iran leadership change or US x Iran ceasefire first?,Iran leadership change or US x Iran ceasefire first?,2026-03-13 18:55:01+00:00,2026-12-31 00:00:00+00:00,28593.11081,EXCLUDE (conditional / compound market)
test,1734822,US x Iran ceasefire before Oil hits $120?,US x Iran ceasefire before Oil hits $120?,2026-03-26 20:45:04+00:00,2026-06-30 00:00:00+00:00,68657.50832200002,EXCLUDE (conditional / compound market)
test,554712,US x Iran ceasefire before July? ,US x Iran ceasefire before July? ,2025-06-22 01:30:16+00:00,2025-06-30 00:00:00+00:00,347829.063868,EXCLUDE (did not match canonical regex; review)
test,554713,US x Iran ceasefire before August? ,US x Iran ceasefire before August? ,2025-06-22 01:33:50+00:00,2025-07-31 00:00:00+00:00,240794.265583,EXCLUDE (did not match canonical regex; review)
test,1466012,US x Iran ceasefire by March 2?,US x Iran ceasefire by...?,2026-02-28 13:44:00+00:00,2026-03-19 09:09:23+00:00,3493959.096746,INCLUDE (test canonical)
test,1466013,US x Iran ceasefire by March 6?,US x Iran ceasefire by...?,2026-02-28 13:44:01+00:00,2026-03-19 09:09:23+00:00,0.0,INCLUDE (test canonical)
test,1466014,US x Iran ceasefire by March 15?,US x Iran ceasefire by...?,2026-02-28 13:44:01+00:00,2026-03-19 09:09:23+00:00,0.0,INCLUDE (test canonical)
test,1466015,US x Iran ceasefire by March 31?,US x Iran ceasefire by...?,2026-02-28 13:44:02+00:00,2026-03-31 13:43:23+00:00,42085838.09954412,INCLUDE (test canonical)
test,1466016,US x Iran ceasefire by April 30?,US x Iran ceasefire by...?,2026-02-28 13:44:03+00:00,2026-03-31 13:43:23+00:00,7178164.951393049,INCLUDE (test canonical)
test,1484894,US x Iran ceasefire by May 31?,US x Iran ceasefire by...?,2026-03-02 17:03:42+00:00,2026-05-31 00:00:00+00:00,2449769.810023984,INCLUDE (test canonical)
test,1484895,US x Iran ceasefire by June 30?,US x Iran ceasefire by...?,2026-03-02 17:04:03+00:00,2026-06-30 00:00:00+00:00,2478784.5118759912,INCLUDE (test canonical)
test,1569627,US x Iran ceasefire by April 15?,US x Iran ceasefire by...?,2026-03-12 16:42:24+00:00,2026-04-15 00:00:00+00:00,6681982.892939737,INCLUDE (test canonical)
test,1571566,US x Iran ceasefire by December 31?,US x Iran ceasefire by...?,2026-03-12 21:30:30+00:00,2026-12-31 00:00:00+00:00,654799.5193839994,INCLUDE (test canonical)
test,1706788,US x Iran ceasefire by April 7?,US x Iran ceasefire by...?,2026-03-24 17:52:05+00:00,2026-04-07 00:00:00+00:00,1923804.9707669995,INCLUDE (test canonical)
train,252842,Will US attack Iran by Nov 30?,Will US attack Iran by Nov 30?,2023-10-30 16:28:03+00:00,2023-11-30 00:00:00+00:00,15237.064498,EXCLUDE (2023/2024 historical markets)
train,253269,Will US attack Iran in 2023?,Will US attack Iran in 2023?,2023-12-04 17:40:51+00:00,2023-12-31 00:00:00+00:00,8061.851626,EXCLUDE (2023/2024 historical markets)
train,254049,Will US attack Iran by February 15?,Will US attack Iran by February 15?,2024-01-22 18:29:17+00:00,2024-02-15 00:00:00+00:00,237401.153348,EXCLUDE (2023/2024 historical markets)
train,554678,US strike on Iran on June  22?,US strikes Iran on...?,2025-06-22 00:15:35+00:00,2025-06-23 00:00:00+00:00,34511.589172,EXCLUDE (2025 June strike ladder - different real-world event)
train,554679,US strike on Iran on June  23?,US strikes Iran on...?,2025-06-22 00:15:36+00:00,2025-06-24 00:00:00+00:00,55638.822799,EXCLUDE (2025 June strike ladder - different real-world event)
train,554680,US strike on Iran on June  24?,US strikes Iran on...?,2025-06-22 00:15:36+00:00,2025-06-25 00:00:00+00:00,46730.208423,EXCLUDE (2025 June strike ladder - different real-world event)
train,554681,US strike on Iran on June  25?,US strikes Iran on...?,2025-06-22 00:15:37+00:00,2025-06-26 00:00:00+00:00,21935.924229,EXCLUDE (2025 June strike ladder - different real-world event)
train,554682,US strike on Iran on June  26?,US strikes Iran on...?,2025-06-22 00:15:37+00:00,2025-06-27 00:00:00+00:00,20525.303727,EXCLUDE (2025 June strike ladder - different real-world event)
train,554683,US strike on Iran on June  27?,US strikes Iran on...?,2025-06-22 00:15:38+00:00,2025-06-28 00:00:00+00:00,26593.725078,EXCLUDE (2025 June strike ladder - different real-world event)
train,554684,US strike on Iran on June  28? ,US strikes Iran on...?,2025-06-22 00:15:38+00:00,2025-06-29 00:00:00+00:00,31778.134489,EXCLUDE (2025 June strike ladder - different real-world event)
train,554685,US strike on Iran on June  29?,US strikes Iran on...?,2025-06-22 00:15:39+00:00,2025-06-30 00:00:00+00:00,33476.879055,EXCLUDE (2025 June strike ladder - different real-world event)
train,554686,US strike on Iran on June  30?,US strikes Iran on...?,2025-06-22 00:15:39+00:00,2025-07-01 00:00:00+00:00,26946.675162,EXCLUDE (2025 June strike ladder - different real-world event)
train,252605,Will the US publicly state that Iran was directly involved with the recent attack on Israel in 2023?,Will the US publicly state that Iran was directly involved with the recent attack on Israel in 2023?,2023-10-09 23:55:55+00:00,2023-12-31 00:00:00+00:00,46876.158111,"EXCLUDE (accusation market, not strike)"
train,1195686,US strikes Iran or Trump announces Fed nominee first?,US strikes Iran or Trump announces Fed nominee first?,2026-01-16 00:22:18+00:00,2026-12-31 00:00:00+00:00,58405.384506,EXCLUDE (compound market)
train,554577,Will Trump announce military action against Iran before July?,Will Trump announce military action against Iran before July?,2025-06-20 21:57:48+00:00,2025-07-01 00:00:00+00:00,33446.720741,EXCLUDE (did not match canonical regex; review)
train,618548,US strikes Iran by October 3?,US strikes Iran by...?,2025-09-30 20:51:16+00:00,2025-10-03 00:00:00+00:00,96049.490311,EXCLUDE (did not match canonical regex; review)
train,618823,US strikes Iran by October 31?,US strikes Iran by...?,2025-09-30 23:38:12+00:00,2025-10-03 00:00:00+00:00,737429.113513,EXCLUDE (did not match canonical regex; review)
train,528763,US military action against Iran before April?,US military action against Iran before April?,2025-03-18 01:50:08+00:00,2025-03-31 12:00:00+00:00,147964.527801,EXCLUDE (different family - broader 'military action' ladder)
train,532741,US military action against Iran before July?,US military action against Iran before July?,2025-03-31 16:44:47+00:00,2025-06-30 12:00:00+00:00,29917021.2541,EXCLUDE (different family - broader 'military action' ladder)
train,533151,US military action against Iran in April?,US military action against Iran in April?,2025-04-01 14:24:55+00:00,2025-04-30 12:00:00+00:00,1075567.463129,EXCLUDE (different family - broader 'military action' ladder)
train,551650,US military action against Iran before August?,US military action against Iran before August?,2025-06-11 19:25:10+00:00,2025-07-31 00:00:00+00:00,1199532.629456,EXCLUDE (different family - broader 'military action' ladder)
